Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7430801987224982,0.5103448275862069,0.7914438502673797,0.6205450733752621
Decision Tree,0.801277501774308,0.6678571428571428,0.5,0.5718654434250765
Random Forest,0.7622427253371186,0.5364485981308411,0.767379679144385,0.6314631463146315
